X,Y,tyyp_t,korgus
584591.152999997,6613015.077,Sidemast,"60"
595409.880000003,6611081.33,Torn,"27"
595449.57,6611086.99,Torn,"35"
595509.590000004,6610880.18,Korsten,"28"
598813.019000001,6613433.339,Korsten,"30"
515509.939999998,6459649.498,Torn,"28"
611746.696000002,6606642.951,Korsten,"16"
611602.5,6606085.62,Korsten,"30"
611942.460000001,6606305.169,Sidemast,"100"
610809.417000003,6612427.114,Torn,"18"
524129.936999999,6529085.735,Torn,"16"
546549.075000003,6540196.473,Sidemast,"26"
545124.425999999,6541063.87,Sidemast,"80"
545658.454000004,6541241.799,Torn,"42"
545658.391999997,6541253.193,Torn,"42"
546881.979999997,6548062.07,Korsten,"13"
553071.538000003,6542904.019,Korsten,"21"
554325.890000001,6547721.92,Torn,"19"
500325.652999997,6576759.104,Torn,"11"
554316.020000003,6547725.26,Torn,"19"
555069.042999998,6547251.919,Korsten,"34"
560733.848999999,6542250.331,Sidemast,"100"
589027.387999997,6544828.192,Sidemast,"80"
581828.280000001,6549817.05,Torn,"35"
581932.431999996,6549800.869,Sidemast,"80"
582380.141000003,6547493.553,Sidemast,"80"
597618.009999998,6544172.49,Korsten,"34"
597560.516000003,6543828.723,Valgusmast,"20"
566772.549999997,6552441.18,Korsten,"28"
566837.802000001,6552342.967,Korsten,"16"
540137.189999998,6590481.48,Korsten,"35"
499459.531000003,6513923.939,Sidemast,"105"
488269.310000002,6523888.72,Korsten,"29"
488169.560000002,6524398.6,Korsten,"18"
487284.285999998,6521322.229,Sidemast,"80"
487755.259000003,6522042.235,Sidemast,"70"
593250.090999998,6471627.456,Sidemast,"62"
515182.229999997,6512437.68,Sidemast,"60"
514541.939999998,6515806.46,Korsten,"30"
503643.266000003,6520070.956,Sidemast,"80"
502527.792000003,6522432.172,Sidemast,"75"
504391.196999997,6524679.547,Torn,"17"
413681.204999998,6476788.518,Torn,"11"
505810.544,6529496.096,Korsten,"22"
505153.420999996,6527777.718,Korsten,"17"
537343.979999997,6592159.87,Korsten,"50"
538738.460000001,6591093.69,Korsten,"28"
538745.619999997,6591086.05,Korsten,"24"
539074.534000002,6590783.99,Korsten,"25"
538294.354000002,6591126.503,Korsten,"26"
539527.140000001,6590526.67,Korsten,"21"
539909.850000001,6590503.58,Korsten,"44"
537693.495999999,6591280.442,Sidemast,"80"
537780.033,6591733.066,Torn,"40"
538503.946000002,6591773.365,Korsten,"44"
539652.549999997,6591197.54,Torn,"35"
546299.011,6586120.497,Torn,"26"
508822.318999998,6493380.783,Korsten,"37"
541928.630000003,6588448.73,Torn,"55"
541490.971000001,6589503.203,Korsten,"23"
541922.359999999,6588464.03,Torn,"55"
541955.748000003,6588887.349,Torn,"51"
542277.718000002,6588671.534,Torn,"51"
541921.119999997,6589034.82,Torn,"65"
541310.869999997,6589562.701,Korsten,"19"
694462.924999997,6410341.739,Torn,"9"
540841.086000003,6588980.647,Korsten,"35"
542248.229999997,6587523.47,Korsten,"40"
540715.640000001,6589564.19,Korsten,"25"
540012.310000002,6588942.21,Sidemast,"87"
542117.43,6589278.45,Torn,"33"
542128.0,6589359.85,Torn,"32"
542258.0,6589463.34,Torn,"34"
542293.899999999,6589500.02,Torn,"32"
542329.170000002,6589538.75,Torn,"30"
542366.479999997,6589580.63,Torn,"30"
542292.979999997,6588792.68,Torn,"25"
564075.880000003,6560427.78,Valgusmast,"15"
564084.347000003,6560604.623,Valgusmast,"17"
563405.399999999,6560977.98,Torn,"15"
602246.843999997,6581860.593,Torn,"30"
542756.299999997,6587630.12,Korsten,"25"
544248.25,6587747.61,Korsten,"70"
544877.719999999,6587847.44,Korsten,"21"
542546.810000002,6589087.25,Torn,"31"
542531.619999997,6589191.02,Torn,"31"
545644.859999999,6587009.45,Korsten,"20"
546335.060000002,6585876.17,Korsten,"25"
546077.159999996,6587005.86,Valgusmast,"38"
720525.714000002,6588108.986,Torn,"25"
545572.100000001,6586920.9,Valgusmast,"38"
