"date","city","name","offer","price"
"2018-03-22","Tallinn","Babulja kohvik-kokteilibaar","Forell seenerisottoga",5.2
"2018-07-19","Tallinn","Tammsaare Ärikeskuse Daily","Ühepajatoit kikerhernestega**",1.2
"2018-05-11","Tallinn","Lasnamäe 2 Daily","Hakklihakaste värskete ürtidega",1.2
"2018-01-03","Tallinn","Reval Café Müürivahe","Selge lõhesupp (L)",3.2
"2018-05-31","Tartu","Polpo","Glasuuritud veiseribi grillitud maisi ja värske salatiga",5.9
"2018-07-24","Tallinn","Helios Söögituba","Päevapraad Grillvorst hapukapsaga",3.75
"2017-10-25","Tallinn","TKTK Amps","Kartuli-, porru-, juustuvorm(G, T)",2.6
"2018-08-09","Tallinn","Hr Mauruse Pubi","Frikadellisupp",1.9
"2017-12-12","Tallinn","Restoran Masha","Kreemjas supp krevettidega",2.5
"2018-01-25","Tartu","Mandala Restoran","Alu motar kartulikarri hernestega",3.5
"2018-07-04","Tartu","Duffy Duff pelmeenikohvik","Kana lülä-kebab",3
"2018-02-26","Tallinn","T-Kohvik","Sealiha rohelise pipra kastmes",4.4
"2018-05-03","Tallinn","TTÜ Keemiainstituudi Daily","Sealihakaste ürtidega (päevapraad)",2.3
"2018-08-16","Tallinn","Amps Merimetsa","Fussiilid suitsukana, tomati ja parmesaniga",3.5
"2018-05-14","Tallinn","Alfredi Pubi","Hapukapsasupp, Toorvorst lambasooles",3.6
"2017-11-21","Tartu","Smile Cafe","Kanakints koorekastmes, kartulipüree, Korea porgandisalat",3.5
"2018-05-04","Tallinn","Grenka Kohvik","Puljong ja pirukas",3.5
"2018-08-16","Tallinn","Al Mare Kohvik & Bistroo (Hallivanamehe)","Minestronesupp kanalihaga",2.05
"2018-04-18","Tallinn","Kärbes Kitchen&Bar","Päevasupp",3
"2018-08-07","Tallinn","Reval Café Tere","Pikkpoiss kukeseenekastme, riisi ja tomati-kurgisalatiga",4.8
"2017-12-22","Tallinn","FREDO Köök&Baar","Veiseburger, juustu, tomati, friikartuli ja hoisini kastmega",5
"2018-03-08","Tallinn","Grenka Kohvik","Küülikukotlet+ kartulipüree, praetud seened",6.5
"2018-07-11","Tallinn","Pärnu mnt Amps","Salaamiga -veiselihaguljašš",4.2
"2018-06-06","Tallinn","Taqueria - Tacos & Drinks","Vürtsikas kala taco 3tk",5.5
"2018-05-15","Tallinn","Pärnu mnt Amps","Ungariguljašš",4.2
"2017-12-13","Tartu","Tartu Kohvik","Paneeritud kanakints (saadaval ainult suur praad)",3.9
"2017-12-19","Tallinn","KAI Kohvik","Hakkbeefsteak vutimunaga, lisandi ja värske salatiga",3.95
"2018-06-11","Tartu","Krempel Kohvik","Hummusega täidetud peet kookose-riisipadjal (hummus sisaldab pähkleid)",5
"2017-11-15","Tallinn","Nipernaadi Restoran","Päevadessert",2.5
"2018-04-27","Tallinn","Tähesaju Kohvik","Mintaifilee taignas",5
"2018-07-03","Tartu","Asian Chef","HIINA. SZECHWAN PEPPER CHICKEN *** Szechwan’i kastmes marineeritud kanafilee punase ja rohelise tšilliga",3.4
"2018-05-14","Tallinn","Carmen Café Kentmanni","Kanafileešnitsel tillikastme ja kapsa-kurgisalatiga",5.5
"2018-01-15","Tallinn","Tokyo55","Lõhe, krabiliha, kreemjuust, kurk,, 9tk",5.74
"2018-01-09","Tallinn","Kotlet","Kanafilee šampinjoni-juustu mütsiga (G)",4.9
"2018-03-16","Tartu","Illegaard","Fish and chips",3.8
"2018-06-12","Tallinn","Helios Söögituba","Grill-ribid",4.95
"2018-06-28","Tallinn","August Kohvik","Smuuti: ananass-banaan-kookospiim",2.5
"2018-03-26","Tartu","Sauna Pubi","Seljanka",2.5
"2018-01-23","Tallinn","Malltop Restoran","Kiievi kotlet",5.5
"2018-08-16","Tallinn","Kompass","Praetud kanafilee mango-jalopeno kastmega",5.5
"2017-10-16","Tartu","Tartu Kõrgema Kunstikooli kohvik","Brokoliraguu aedubadega",3.2
"2018-07-09","Tallinn","Helios Söögituba","Taipärane kanapajaroog",5.5
"2017-11-07","Tallinn","Mets Restoran","Täidetud baklazaan",3.5
"2018-01-05","Tallinn","Amps Merimetsa","Grillitud kanafilee mozzarellajuustu ja pestoga",5.7
"2017-12-25","Tallinn","Lavendel Café","Kalkunikotlet suitsujuustuga",3.7
"2017-10-30","Tallinn","Marii Bistroo","Kanastrogonov",3.8
"2018-01-16","Tallinn","Rucola","Päevadessert: Šokolaadikook",2.9
"2018-03-21","Tallinn","Mets Restoran","Sealiha teryakikastmes",4.9
"2018-01-16","Tallinn","TTÜ 4 korpus Daily","Seapraad kadakamarjadega",4.2
"2018-01-11","Tallinn","Marii Bistroo","Eskalopp",6.2
"2018-03-12","Tallinn","Kotlet","Sinepine sealihapraad (L) (G)",4.2
"2018-03-20","Tartu","Duffy Duff pelmeenikohvik","Hernesupp viineri ja suitsukanaga",1.5
"2018-03-09","Tartu","Suudlevad tudengid","Kanafileevarras köögiviljadega, ingveri-meekaste, cous-cous, coleslaw salat",3.95
"2018-05-09","Tartu","Pierre","Paneeritud kala, ahjukartul, valge veini kaste",4.5
"2018-05-08","Tallinn","Audentese Spordikeskuse Daily","Viini šnitsel",3.8
"2018-01-16","Tallinn","Mustikas Kohvik","Kanafilee ananassi ja juustuga",5.2
"2017-12-22","Tallinn","Ubin bistroo","Riisi-paprikaroog",4.5
"2017-12-18","Tallinn","Ancho","Chilaquiles verde kanaga ja ubadega",5
"2018-07-13","Tallinn","Perrooni Kohvik","Selge kalasupp",2.5
"2017-11-16","Tallinn","Krua","Chu Chi Pla (Punane karri kalaga), riis",5
"2018-06-15","Tallinn","Al Mare Grill","Tom kha kanalihaga",3
"2018-07-09","Tallinn","Alfredi Pubi","Lillkapsapüreesupp",3.6
"2018-08-07","Tallinn","Ubin bistroo","Koorene kanasupp",2.1
"2017-12-12","Tallinn","Poska kohvik","Kana-köögiviljasupp",3
"2018-02-08","Tallinn","Marii Bistroo","Biifsteek munaga",5.4
"2017-12-08","Tallinn","Margarita Restoran","Kana-nuudlisupp",2.5
"2018-06-05","Tallinn","Rotermanni Basiilik","Spinati ja juustuga kaetud kanafilee, tatar, karrikaste ja marineeritud kurgisalat",5.8
"2018-08-03","Tartu","Vapiano","Ravioli con carne",5
"2018-05-25","Tallinn","Kompass","Kana ananassi ja juustuga",5
"2018-03-21","Tallinn","HIIU Lounge","Komplekt (supp+praad+jook)",7
"2018-06-08","Tartu","Kohvik Pööre","Kana-klimbisupp",2.5
"2018-04-24","Tallinn","Apelsini Raudtee Resto","Savoy kapsarullid hakklihaga",5.5
"2018-03-15","Tartu","Sõbra Pesa","Hakkbiifsteek praemunaga",3.8
"2018-05-31","Tartu","Lihuniku äri ja restoran","Rohumaaveise šašlõkk kartulilaastude ja värske rohelisega",5
