"x","y","maakond","registreeriti","loomad"
651188,6426751,"valga maakond","2004",""
625842,6411967,"valga maakond","2004","hani;munakana"
639330,6404828,"valga maakond","2004","munakana;veis"
625469,6410148,"valga maakond","2004","munakana;veis"
643475,6445166,"valga maakond","2004","munakana"
628009,6439380,"tartu maakond","2004","veis"
628546,6441574,"tartu maakond","2004","veis"
615569,6445147,"viljandi maakond","2004","siga"
620169,6429757,"valga maakond","2004","lammas"
620153,6429779,"valga maakond","2004","munakana"
621102,6420644,"valga maakond","2004","munakana"
628576,6444772,"tartu maakond","2004","hobune;kalkun;kits;kuulik;munakana;paabulind;parlkana;part;veis"
625318,6410131,"valga maakond","2004","munakana"
649166,6446190,"valga maakond","2004","munakana"
630120,6404810,"valga maakond","2004","mesilane"
643021,6389440,"valga maakond","2004","munakana"
645867,6439496,"valga maakond","2004","veis"
622726,6442130,"tartu maakond","2004","munakana;veis"
646600,6399590,"valga maakond","2004","lammas"
687999,6438707,"põlva maakond","2004","lammas"
689237,6439774,"põlva maakond","2004","veis"
696185,6417763,"võru maakond","2004","munakana"
696148,6417776,"võru maakond","2004","hani;lammas;veis"
675649,6404180,"võru maakond","2004","mesilane"
621878,6408725,"valga maakond","2004","lammas;munakana;part"
629654,6405897,"valga maakond","2004","munakana"
623283,6431498,"valga maakond","2004","veis"
666872,6401371,"võru maakond","2004","veis"
668696,6431209,"põlva maakond","2004",""
670989,6429171,"põlva maakond","2004","veis"
653422,6439708,"põlva maakond","2004","munakana"
698524,6430040,"põlva maakond","2004","mesilane"
705361,6421498,"võru maakond","2004","veis"
704192,6421388,"võru maakond","2004","mesilane"
698642,6421753,"võru maakond","2004","mesilane;veis"
681834,6436908,"põlva maakond","2004","lammas"
672255,6416695,"võru maakond","2004","hani;kits;munakana;part"
683856,6401969,"võru maakond","2004","kits"
683041,6421597,"võru maakond","2004","hani;lammas;munakana"
701623,6419321,"võru maakond","2004","veis"
657654,6423753,"võru maakond","2004","munakana;veis"
706532,6406243,"võru maakond","2004","hobune;mesilane"
645650,6387840,"valga maakond","2004","veis"
648371,6446963,"valga maakond","2004","mesilane;munakana;part"
682997,6390241,"võru maakond","2004","hani;hobune;lammas;munakana;part;veis"
674463,6408224,"võru maakond","2004","munakana"
681623,6398226,"võru maakond","2004","munakana"
625491,6414475,"valga maakond","2004","munakana"
705650,6443852,"põlva maakond","2004","lammas"
716452,6435606,"võru maakond","2004","veis"
679566,6432496,"põlva maakond","2004","hobune"
640425,6441675,"valga maakond","2004","mesilane"
630331,6415105,"valga maakond","2004","lammas"
630319,6415105,"valga maakond","2004","veis"
654082,6389233,"võru maakond","2004","lammas;munakana"
653454,6412506,"võru maakond","2004","munakana"
656762,6423352,"võru maakond","2004","munakana;veis"
670014,6429860,"põlva maakond","2004","mesilane"
673433,6435108,"põlva maakond","2004","mesilane;munakana"
689479,6433755,"põlva maakond","2004","hani;lammas;munakana"
647159,6431867,"valga maakond","2004","hobune;kits;lammas"
624485,6441376,"tartu maakond","2004","kuulik;munakana;part"
651231,6428246,"valga maakond","2004","munakana"
641690,6403110,"valga maakond","2004","veis"
682766,6426991,"võru maakond","2004","munakana"
694646,6390226,"võru maakond","2004","munakana;veis"
643964,6437636,"valga maakond","2004","mesilane"
637671,6419164,"valga maakond","2004","mesilane;munakana;veis"
613484,6429084,"valga maakond","2004","munakana;siga;veis"
722200,6420749,"võru maakond","2004","hobune"
627175,6421773,"valga maakond","2004","veis"
638880,6404458,"valga maakond","2004","lammas"
667524,6403580,"võru maakond","2004","munakana;veis"
705272,6403769,"võru maakond","2004","munakana"
691563,6417221,"võru maakond","2004","mesilane;munakana"
709022,6412108,"võru maakond","2004",""
694198,6438840,"põlva maakond","2004","veis"
717645,6434398,"võru maakond","2004","munakana;veis"
684981,6444346,"põlva maakond","2004","veis"
690253,6388809,"võru maakond","2004","hobune"
685399,6396360,"võru maakond","2004","veis"
700443,6433138,"põlva maakond","2004","munakana;veis"
683952,6411920,"võru maakond","2004",""
650747,6410885,"võru maakond","2004","veis"
654929,6417409,"võru maakond","2004","munakana"
649552,6409327,"võru maakond","2004","munakana"
660828,6426300,"põlva maakond","2004","lammas"
650197,6442976,"valga maakond","2004","munakana"
641061,6441747,"valga maakond","2004","kits;munakana;veis"
640634,6441328,"valga maakond","2004","lammas;veis"
646369,6414398,"võru maakond","2004","munakana;veis"
667636,6419846,"võru maakond","2004","munakana"
673659,6418518,"võru maakond","2004","mesilane"
673330,6400869,"võru maakond","2004","mesilane;munakana"
644148,6407714,"valga maakond","2004","munakana"
628724,6416230,"valga maakond","2004","munakana;veis"
691085,6432952,"põlva maakond","2004","mesilane"
620840,6429564,"valga maakond","2004","hobune"
644561,6401916,"valga maakond","2004","munakana;veis"
648782,6445518,"valga maakond","2004","kits;lammas"
681077,6391408,"võru maakond","2004","veis"
626327,6412155,"valga maakond","2004","munakana"
689702,6440870,"põlva maakond","2004","hani;hobune;lammas;munakana;veis"
647224,6433922,"valga maakond","2004","hobune"
647337,6433876,"valga maakond","2004","hobune"
646328,6387430,"valga maakond","2004","munakana"
699777,6398979,"võru maakond","2004","mesilane;munakana;veis"
658909,6403735,"võru maakond","2004","siga"
682519,6400306,"võru maakond","2004",""
666193,6423829,"põlva maakond","2004","munakana;veis"
700756,6393342,"võru maakond","2004","hobune;lammas;veis"
694278,6410527,"võru maakond","2004","munakana"
653065,6404663,"võru maakond","2004","hobune"
677566,6429738,"põlva maakond","2004","munakana"
670694,6420481,"võru maakond","2004","lammas;munakana"
660995,6402983,"võru maakond","2004","munakana;veis"
692256,6394550,"võru maakond","2004","veis"
695133,6389089,"võru maakond","2004","mesilane"
687007,6403395,"võru maakond","2004","hani"
658353,6415495,"võru maakond","2004","veis"
631450,6411385,"valga maakond","2004","munakana"
650112,6421017,"võru maakond","2004","hani;lammas;veis"
672704,6430424,"põlva maakond","2004","veis"
709937,6430856,"võru maakond","2004","hobune;munakana"
683970,6402698,"võru maakond","2004","veis"
683990,6402683,"võru maakond","2004","munakana"
715420,6430659,"võru maakond","2004","veis"
698761,6437128,"põlva maakond","2004","lammas;munakana"
667042,6403267,"võru maakond","2004",""
641703,6438494,"valga maakond","2004","hani;hobune;kalkun;kits;lammas;munakana"
624801,6412169,"valga maakond","2004","munakana;veis"
690339,6443918,"põlva maakond","2004","kits;munakana"
706572,6419409,"võru maakond","2004","munakana;veis"
645189,6388372,"valga maakond","2004","munakana"
693465,6432239,"põlva maakond","2004","veis"
662356,6438866,"põlva maakond","2004","lammas"
697849,6406315,"võru maakond","2004","hobune;munakana;veis"
705913,6405270,"võru maakond","2004","hani;lammas;munakana;part"
650334,6414038,"võru maakond","2004","munakana;veis"
630395,6439208,"tartu maakond","2004","lammas"
668632,6419098,"võru maakond","2004","munakana"
677268,6402650,"võru maakond","2004","veis"
677338,6395200,"võru maakond","2004","kits;munakana"
667123,6426483,"põlva maakond","2004",""
680690,6440767,"põlva maakond","2004","lammas"
650342,6381364,"võru maakond","2004","hobune"
641910,6415200,"valga maakond","2004","munakana"
673197,6403270,"võru maakond","2004","lammas;munakana"
673193,6403825,"võru maakond","2004","mesilane"
680906,6432346,"põlva maakond","2004","munakana;veis"
639610,6444794,"tartu maakond","2004","hani"
671885,6402182,"võru maakond","2004","lammas;munakana"
684758,6387318,"võru maakond","2004","veis"
687522,6399357,"võru maakond","2004","munakana"
687483,6399338,"võru maakond","2004","mesilane"
643865,6396572,"valga maakond","2004","munakana;veis"
625401,6408344,"valga maakond","2004","munakana"
674838,6398332,"võru maakond","2004","munakana"
647832,6403448,"võru maakond","2004","hobune;munakana"
671296,6429794,"põlva maakond","2004","hobune;kuulik;lammas;siga;veis"
648542,6439961,"valga maakond","2004","siga"
648709,6440060,"valga maakond","2004","hobune;kits;lammas;siga;veis"
641827,6415163,"valga maakond","2004","munakana"
674930,6419125,"võru maakond","2004","siga"
706450,6420726,"võru maakond","2004","lammas"
702119,6438018,"põlva maakond","2004","munakana;veis"
619451,6438137,"valga maakond","2004","kits;munakana"
680724,6434856,"põlva maakond","2004","munakana;veis"
708316,6430166,"võru maakond","2004","lammas;munakana;veis"
699171,6409002,"võru maakond","2004","kits"
686666,6404684,"võru maakond","2004","veis"
696443,6415515,"võru maakond","2004","mesilane"
667148,6392669,"võru maakond","2004","munakana"
685788,6390695,"võru maakond","2004","kits;munakana"
704259,6412818,"võru maakond","2004","munakana"
675147,6422720,"võru maakond","2004","kits;munakana"
650535,6436553,"valga maakond","2004","hobune;munakana"
622125,6406725,"valga maakond","2004","siga;veis"
693401,6437764,"põlva maakond","2004","hani;veis"
686421,6423043,"võru maakond","2004","munakana"
681544,6409190,"võru maakond","2004","munakana"
641217,6415793,"valga maakond","2004","munakana"
682068,6432970,"põlva maakond","2004","munakana"
666243,6437344,"põlva maakond","2004","munakana"
695377,6440371,"põlva maakond","2004","munakana;veis"
685352,6390269,"võru maakond","2004","munakana"
679768,6393641,"võru maakond","2004",""
702073,6408159,"võru maakond","2004","munakana;veis"
671835,6403981,"võru maakond","2004","munakana;veis"
698644,6405682,"võru maakond","2004","mesilane"
684645,6387797,"võru maakond","2004","munakana"
623686,6404863,"valga maakond","2004","hobune"
641890,6413322,"valga maakond","2004","munakana;veis"
653349,6425472,"põlva maakond","2004","veis"
653491,6404460,"võru maakond","2004","lammas"
653493,6386980,"võru maakond","2004","lammas"
643080,6439062,"valga maakond","2004","hobune;kits;munakana"
643113,6439046,"valga maakond","2004","hobune"
680923,6430814,"põlva maakond","2004","veis"
662723,6393262,"võru maakond","2004","veis"
693200,6386147,"võru maakond","2004","munakana"
662349,6392852,"võru maakond","2004","munakana"
692251,6395295,"võru maakond","2004","munakana"
704291,6402225,"võru maakond","2004","lammas"
660335,6394521,"võru maakond","2004","lammas;munakana;veis"
649419,6411649,"võru maakond","2004","munakana;veis"
