"make","model","price.usd","year","condition","mileage.km","fuel","volume.l","color","transmission","drive"
"renault","espace",3800,1999,"with mileage",292000,"petrol",2,"silver","mechanics","front-wheel drive"
"peugeot","308",5950,2010,"with mileage",138800,"petrol",1.6,"black","mechanics","front-wheel drive"
"peugeot","partner",1900,1996,"with mileage",78788,"diesel",1.9,"white","mechanics","front-wheel drive"
"volkswagen","passat",11500,2012,"with mileage",170000,"petrol",1.8,"black","auto","front-wheel drive"
"bmw","7-seriya",6000,2001,"with mileage",373000,"diesel",4,"blue","auto","rear drive"
"mazda","3",7950,2010,"with mileage",83685.68,"petrol",2,"black","auto","front-wheel drive"
"mercedes-benz","c-klass",4200,2003,"with mileage",470000,"diesel",2.2,"blue","auto","rear drive"
"opel","sintra",2200,1997,"with mileage",400000,"petrol",2.2,"red","mechanics","front-wheel drive"
"renault","laguna",2200,1997,"with mileage",280000,"petrol",1.8,"gray","mechanics","front-wheel drive"
"volkswagen","jetta",900,1988,"with mileage",300000,"diesel",1.6,"black","mechanics","front-wheel drive"
"toyota","sienna",40000,2017,"with mileage",47000,"petrol",3.5,"silver","auto","all-wheel drive"
"bmw","3-seriya",900,1989,"with mileage",400000,"petrol",2,"black","mechanics","rear drive"
"chrysler","lhs",5200,1997,"with mileage",245550,"petrol",3.5,"gray","auto","front-wheel drive"
"chrysler","town-and-country",8700,2005,"with mileage",349226.78,"petrol",3.8,"silver","auto","front-wheel drive"
"opel","zafira",13500,2014,"with mileage",175000,"petrol",1.6,"silver","mechanics","front-wheel drive"
"volkswagen","passat",7199,2007,"with mileage",240000,"diesel",2,"black","mechanics","front-wheel drive"
"audi","a6",7700,2005,"with mileage",309,"petrol",2.4,"silver","auto","front-wheel drive"
"audi","80",600,1988,"with mileage",111111,"petrol",1.8,"black","mechanics","front-wheel drive"
"toyota","carina",400,1991,"with mileage",400000,"petrol",1.6,"white","mechanics","front-wheel drive"
"infiniti","fx",17700,2009,"with mileage",195000,"petrol",5,"black","auto","part-time four-wheel drive"
"renault","grand-espace",9900,2008,"with mileage",206000,"petrol",2,"blue","mechanics","front-wheel drive"
"toyota","yaris",3200,2003,"with mileage",154000,"petrol",1.1,"black","mechanics","front-wheel drive"
"skoda","octavia",7500,2010,"with mileage",168316,"petrol",1.2,"black","mechanics","front-wheel drive"
"kia","rio",5700,2011,"with mileage",111000,"petrol",1.4,"red","mechanics","front-wheel drive"
"ssangyong","kyron",7350,2007,"with mileage",172100,"diesel",2,"silver","auto","part-time four-wheel drive"
"mitsubishi","galant",618,1990,"with mileage",400000,"petrol",1.8,"burgundy","mechanics","front-wheel drive"
"volkswagen","touran",15500,2015,"with mileage",137400,"diesel",1.6,"silver","auto","front-wheel drive"
"mazda","6",4400,2002,"with mileage",280000,"diesel",2,"gray","mechanics","front-wheel drive"
"lifan","solano",5229,2013,"with mileage",70000,"petrol",1.6,"white","mechanics","front-wheel drive"
